kind,id,file,heading,date,statut,lieu,ville,pays,ere,source,url_detail,atomes_lies,notes,same_as,nom_tournee,chronologie_id,type_unite,label,date_precision,membres_reconcilies
concert,JD-CONCERT-19771019-001,registers/concerts/00_canonical_concerts.md,1977 — Warsaw / Stiff Kittens,1977-10-19,confirme,Pipers,Manchester,UK,Warsaw,joydiv.org,,[],,CONCERT-19771019-PIPERS-CYPRUS-TAVERN,,,,,,
concert,JD-CONCERT-19771124-001,registers/concerts/00_canonical_concerts.md,1977 — Warsaw / Stiff Kittens,1977-11-24,confirme,Rafters,Manchester,UK,Warsaw,joydiv.org,,[],,CONCERT-19771124-RAFTERS-MANCHESTER,,,,,,
concert,JD-CONCERT-19771200-001,registers/concerts/00_canonical_concerts.md,1977 — Warsaw / Stiff Kittens,1977-12-00,confirme,Rafters,Manchester,UK,Warsaw,joydiv.org,,[],Date du jour inconnue (décembre 1977).,CONCERT-19771200-RAFTERS-MANCHESTER,,,,,,
concert,JD-CONCERT-19771231-001,registers/concerts/00_canonical_concerts.md,1977 — Warsaw / Stiff Kittens,1977-12-31,confirme,The Swingin' Apple,Liverpool,UK,Warsaw,joydiv.org,,[],Dernier concert sous le nom Warsaw.,CONCERT-19771231-SWINGING-APPLE-LIVERPOOL,,,,,,
concert,JD-CONCERT-19780125-001,registers/concerts/00_canonical_concerts.md,1978 — Joy Division,1978-01-25,confirme,Pips Disco,Manchester,UK,Joy Division,joydiv.org,,[],Premier concert sous le nom Joy Division.,CONCERT-19780125-PIPS,,,,,,
concert,JD-CONCERT-19780328-001,registers/concerts/00_canonical_concerts.md,1978 — Joy Division,1978-03-28,confirme,Rafters,Manchester,UK,Joy Division,joydiv.org,,[],Stiff/Chiswick Challenge ; rencontre Rob Gretton et Tony Wilson.,CONCERT-19780328-RAFTERS-MANCHESTER,,,,,,
concert,JD-CONCERT-19780407-001,registers/concerts/00_canonical_concerts.md,1978 — Joy Division,1978-04-07,confirme,Good Mood,Halifax,UK,Joy Division,joydiv.org,,[],,CONCERT-19780407-GOOD-MOOD-HALIFAX,,,,,,
concert,JD-CONCERT-19780414-001,registers/concerts/00_canonical_concerts.md,1978 — Joy Division,1978-04-14,confirme,Rafters,Manchester,UK,Joy Division,joydiv.org,,[],,CONCERT-19780414-RAFTERS-MANCHESTER,,,,,,
concert,JD-CONCERT-19780520-001,registers/concerts/00_canonical_concerts.md,1978 — Joy Division,1978-05-20,confirme,The Mayflower Club,Manchester,UK,Joy Division,joydiv.org,,[],,CONCERT-19780520-STONEGROUND-MAYFLOWER,,,,,,
concert,JD-CONCERT-19780609-001,registers/concerts/00_canonical_concerts.md,1978 — Joy Division,1978-06-09,confirme,The Factory I (Russell Club),Manchester,UK,Joy Division,joydiv.org,,[],Premier concert au Factory.,CONCERT-19780609-RUSSELL-CLUB,,,,,,
concert,JD-CONCERT-19780600-001,registers/concerts/00_canonical_concerts.md,1978 — Joy Division,1978-06-00,confirme,Band on the Wall,Manchester,UK,Joy Division,joydiv.org,,[],Date du jour inconnue (juin 1978).,CONCERT-19780600-BAND-ON-THE-WALL,,,,,,
concert,JD-CONCERT-19780713-001,registers/concerts/00_canonical_concerts.md,1978 — Joy Division,1978-07-13,confirme,Eric's,Liverpool,UK,Joy Division,joydiv.org,,[],,CONCERT-19780713-ERICS-LIVERPOOL,,,,,,
concert,JD-CONCERT-19780715-001,registers/concerts/00_canonical_concerts.md,1978 — Joy Division,1978-07-15,confirme,Eric's,Liverpool,UK,Joy Division,joydiv.org,,[],,CONCERT-19780715-ERICS-LIVERPOOL,,,,,,
concert,JD-CONCERT-19780727-001,registers/concerts/00_canonical_concerts.md,1978 — Joy Division,1978-07-27,confirme,Roots Club,Leeds,UK,Joy Division,joydiv.org,,[],,CONCERT-19780727-ROOTS-CLUB-LEEDS,,,,,,
concert,JD-CONCERT-19780728-001,registers/concerts/00_canonical_concerts.md,1978 — Joy Division,1978-07-28,confirme,The Factory I,Manchester,UK,Joy Division,joydiv.org,,[],,CONCERT-19780728-RUSSELL-CLUB,,,,,,
concert,JD-CONCERT-19780820-001,registers/concerts/00_canonical_concerts.md,1978 — Joy Division,1978-08-20,confirme,Royal Standard,Bradford,UK,Joy Division,joydiv.org,,[],,CONCERT-19780820-ROYAL-STANDARD-BRADFORD,,,,,,
concert,JD-CONCERT-19780829-001,registers/concerts/00_canonical_concerts.md,1978 — Joy Division,1978-08-29,confirme,Band on the Wall,Manchester,UK,Joy Division,joydiv.org,,[],,CONCERT-19780829-BAND-ON-THE-WALL,,,,,,
concert,JD-CONCERT-19780904-001,registers/concerts/00_canonical_concerts.md,1978 — Joy Division,1978-09-04,confirme,Band on the Wall,Manchester,UK,Joy Division,joydiv.org,,[],,CONCERT-19780904-BAND-ON-THE-WALL,,,,,,
concert,JD-CONCERT-19780909-001,registers/concerts/00_canonical_concerts.md,1978 — Joy Division,1978-09-09,confirme,Eric's,Liverpool,UK,Joy Division,joydiv.org,,[],,CONCERT-19780909-ERICS-LIVERPOOL,,,,,,
concert,JD-CONCERT-19780910-001,registers/concerts/00_canonical_concerts.md,1978 — Joy Division,1978-09-10,confirme,Royal Standard,Bradford,UK,Joy Division,joydiv.org,,[],,CONCERT-19780910-ROYAL-STANDARD-BRADFORD,,,,,,
concert,JD-CONCERT-19780920-001,registers/concerts/00_canonical_concerts.md,1978 — Joy Division,1978-09-20,tv,Granada TV Studios — Granada Reports,Manchester,UK,Joy Division,joydiv.org,,[],Captation TV : Shadowplay diffusé dans Granada Reports.,,,,,,,
concert,JD-CONCERT-19780922-001,registers/concerts/00_canonical_concerts.md,1978 — Joy Division,1978-09-22,confirme,Coach House,Huddersfield,UK,Joy Division,joydiv.org,,[],,CONCERT-19780922-COACH-HOUSE-HUDDERSFIELD,,,,,,
concert,JD-CONCERT-19780926-001,registers/concerts/00_canonical_concerts.md,1978 — Joy Division,1978-09-26,confirme,Band on the Wall,Manchester,UK,Joy Division,joydiv.org,,[],,CONCERT-19780926-BAND-ON-THE-WALL,,,,,,
concert,JD-CONCERT-19781002-001,registers/concerts/00_canonical_concerts.md,1978 — Joy Division,1978-10-02,confirme,Institute of Technology,Bolton,UK,Joy Division,joydiv.org,,[],,CONCERT-19781002-BOLTON-INSTITUTE-OF-TECHNOLOGY,,,,,,
concert,JD-CONCERT-19781012-001,registers/concerts/00_canonical_concerts.md,1978 — Joy Division,1978-10-12,confirme,Kelly's,Manchester,UK,Joy Division,joydiv.org,,[],,CONCERT-19781012-KELLYS-MANCHESTER,,,,,,
concert,JD-CONCERT-19781020-001,registers/concerts/00_canonical_concerts.md,1978 — Joy Division,1978-10-20,confirme,The Factory I,Manchester,UK,Joy Division,joydiv.org,,[],,CONCERT-19781020-RUSSELL-CLUB,,,,,,
concert,JD-CONCERT-19781024-001,registers/concerts/00_canonical_concerts.md,1978 — Joy Division,1978-10-24,confirme,The Fan Club,Leeds,UK,Joy Division,joydiv.org,,[],,CONCERT-19781024-FAN-CLUB-LEEDS,,,,,,
concert,JD-CONCERT-19781026-001,registers/concerts/00_canonical_concerts.md,1978 — Joy Division,1978-10-26,confirme,Band on the Wall,Manchester,UK,Joy Division,joydiv.org,,[],,CONCERT-19781026-BAND-ON-THE-WALL,,,,,,
concert,JD-CONCERT-19781027-001,registers/concerts/00_canonical_concerts.md,1978 — Joy Division,1978-10-27,confirme,Apollo Theatre,Manchester,UK,Joy Division,joydiv.org,,[],,CONCERT-19781027-MANCHESTER-APOLLO,,,,,,
concert,JD-CONCERT-19781104-001,registers/concerts/00_canonical_concerts.md,1978 — Joy Division,1978-11-04,confirme,Eric's,Liverpool,UK,Joy Division,joydiv.org,,[],,CONCERT-19781104-ERICS-LIVERPOOL,,,,,,
concert,JD-CONCERT-19781112-001,registers/concerts/00_canonical_concerts.md,1978 — Joy Division,1978-11-12,confirme,Apollo Theatre,Manchester,UK,Joy Division,joydiv.org,,[],,CONCERT-19781112-MANCHESTER-APOLLO,,,,,,
concert,JD-CONCERT-19781114-001,registers/concerts/00_canonical_concerts.md,1978 — Joy Division,1978-11-14,confirme,The Odeon,Canterbury,UK,Joy Division,joydiv.org,,[],,CONCERT-19781114-ODEON-CANTERBURY,,,,,,
concert,JD-CONCERT-19781115-001,registers/concerts/00_canonical_concerts.md,1978 — Joy Division,1978-11-15,confirme,Brunel University,Uxbridge,UK,Joy Division,joydiv.org,,[],Remplace Reading (Top Rank) annulé.,CONCERT-19781115-BRUNEL-UNIVERSITY,,,,,,
concert,JD-CONCERT-19781120-001,registers/concerts/00_canonical_concerts.md,1978 — Joy Division,1978-11-20,confirme,Check Inn Club,Altrincham,UK,Joy Division,joydiv.org,,[],,CONCERT-19781120-CHECK-INN-ALTRINCHAM,,,,,,
concert,JD-CONCERT-19781126-001,registers/concerts/00_canonical_concerts.md,1978 — Joy Division,1978-11-26,confirme,The Venue,Manchester,UK,Joy Division,joydiv.org,,[],Remplace plusieurs dates annulées de la mini-tournée nov. 1978.,CONCERT-19781126-THE-VENUE-MANCHESTER,,,,,,
concert,JD-CONCERT-19781201-001,registers/concerts/00_canonical_concerts.md,1978 — Joy Division,1978-12-01,confirme,Salford College of Technology,Salford,UK,Joy Division,joydiv.org,,[],,CONCERT-19781201-SALFORD-TECHNICAL-COLLEGE,,,,,,
concert,JD-CONCERT-19781222-001,registers/concerts/00_canonical_concerts.md,1978 — Joy Division,1978-12-22,confirme,Revolution Club,York,UK,Joy Division,joydiv.org,,[],,CONCERT-19781222-REVOLUTION-CLUB-YORK,,,,,,
concert,JD-CONCERT-19781227-001,registers/concerts/00_canonical_concerts.md,1978 — Joy Division,1978-12-27,confirme,Hope and Anchor,London,UK,Joy Division,joydiv.org,,[],,CONCERT-19781227-HOPE-AND-ANCHOR-LONDON,,,,,,
concert,JD-CONCERT-19781115-A01,registers/concerts/00_canonical_concerts.md,1978 — concerts annulés,1978-11-15,annule,Top Rank,Reading,UK,Joy Division,joydiv.org,,,Remplacé par Brunel University Uxbridge.,CONCERT-19781115-TOP-RANK-READING,,,,,,
concert,JD-CONCERT-19781116-A01,registers/concerts/00_canonical_concerts.md,1978 — concerts annulés,1978-11-16,annule,Metro,Plymouth,UK,Joy Division,joydiv.org,,,,CONCERT-19781116-METRO-PLYMOUTH,,,,,,
concert,JD-CONCERT-19781117-A01,registers/concerts/00_canonical_concerts.md,1978 — concerts annulés,1978-11-17,annule,Cardiff University,Cardiff,UK,Joy Division,joydiv.org,,,Pays de Galles.,CONCERT-19781117-CARDIFF-UNIVERSITY,,,,,,
concert,JD-CONCERT-19781118-A01,registers/concerts/00_canonical_concerts.md,1978 — concerts annulés,1978-11-18,annule,Southampton University,Southampton,UK,Joy Division,joydiv.org,,,,CONCERT-19781118-SOUTHAMPTON-UNIVERSITY,,,,,,
concert,JD-CONCERT-19781119-A01,registers/concerts/00_canonical_concerts.md,1978 — concerts annulés,1978-11-19,annule,Locarno,Bristol,UK,Joy Division,joydiv.org,,,,CONCERT-19781119-LOCARNO-BRISTOL,,,,,,
concert,JD-CONCERT-19781121-A01,registers/concerts/00_canonical_concerts.md,1978 — concerts annulés,1978-11-21,annule,King Georges Hall,Blackburn,UK,Joy Division,joydiv.org,,,,CONCERT-19781121-KING-GEORGES-HALL-BLACKBURN,,,,,,
concert,JD-CONCERT-19781122-A01,registers/concerts/00_canonical_concerts.md,1978 — concerts annulés,1978-11-22,annule,Sheffield Polytechnic,Sheffield,UK,Joy Division,joydiv.org,,,,CONCERT-19781122-SHEFFIELD-POLYTECHNIC,,,,,,
concert,JD-CONCERT-19781124-A01,registers/concerts/00_canonical_concerts.md,1978 — concerts annulés,1978-11-24,annule,Lancaster University,Lancaster,UK,Joy Division,joydiv.org,,,,CONCERT-19781124-LANCASTER-UNIVERSITY,,,,,,
concert,JD-CONCERT-19781125-A01,registers/concerts/00_canonical_concerts.md,1978 — concerts annulés,1978-11-25,annule,Bradford University,Bradford,UK,Joy Division,joydiv.org,,,,CONCERT-19781125-BRADFORD-UNIVERSITY,,,,,,
concert,JD-CONCERT-19781126-A01,registers/concerts/00_canonical_concerts.md,1978 — concerts annulés,1978-11-26,annule,Coatham Bowl,Redcar,UK,Joy Division,joydiv.org,,,,CONCERT-19781126-COATHAM-BOWL-REDCAR,,,,,,
concert,JD-CONCERT-19781127-A01,registers/concerts/00_canonical_concerts.md,1978 — concerts annulés,1978-11-27,annule,St Andrews University,St Andrews,UK,Joy Division,joydiv.org,,,Écosse.,CONCERT-19781127-ST-ANDREWS-UNIVERSITY,,,,,,
concert,JD-CONCERT-19790112-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-01-12,confirme,Wythenshawe College,Manchester,UK,Joy Division,joydiv.org,,[],,CONCERT-19790112-WYTHENSHAWE-COLLEGE,,,,,,
concert,JD-CONCERT-19790126-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-01-26,confirme,The Factory I,Manchester,UK,Joy Division,joydiv.org,,[],,CONCERT-19790126-RUSSELL-CLUB,,,,,,
concert,JD-CONCERT-19790210-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-02-10,confirme,Institute of Technology,Bolton,UK,Joy Division,joydiv.org,,[],,CONCERT-19790210-BOLTON-INSTITUTE-OF-TECHNOLOGY,,,,,,
concert,JD-CONCERT-19790216-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-02-16,confirme,Eric's,Liverpool,UK,Joy Division,joydiv.org,,[],,CONCERT-19790216-ERICS-LIVERPOOL,,,,,,
concert,JD-CONCERT-19790228-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-02-28,confirme,Playhouse Theatre,Nottingham,UK,Joy Division,joydiv.org,,[],,CONCERT-19790228-PLAYHOUSE-THEATRE-NOTTINGHAM,,,,,,
concert,JD-CONCERT-19790301-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-03-01,confirme,Hope and Anchor,London,UK,Joy Division,joydiv.org,,[],,CONCERT-19790301-HOPE-AND-ANCHOR-LONDON,,,,,,
concert,JD-CONCERT-19790304-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-03-04,confirme,Marquee,London,UK,Joy Division,joydiv.org,,[],,CONCERT-19790304-MARQUEE-LONDON,,,,,,
concert,JD-CONCERT-19790313-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-03-13,confirme,Band on the Wall,Manchester,UK,Joy Division,joydiv.org,,[],,CONCERT-19790313-BAND-ON-THE-WALL,,,,,,
concert,JD-CONCERT-19790314-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-03-14,confirme,Bowdon Vale Youth Club,Altrincham,UK,Joy Division,joydiv.org,,[],,CONCERT-19790314-BOWDON-VALE-YOUTH-CLUB,,,,,,
concert,JD-CONCERT-19790317-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-03-17,confirme,University of Kent,Canterbury,UK,Joy Division,joydiv.org,,[],,CONCERT-19790317-UNIVERSITY-OF-KENT,,,,,,
concert,JD-CONCERT-19790330-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-03-30,confirme,Youth Centre Walthamstow,London,UK,Joy Division,joydiv.org,,[],,CONCERT-19790330-WALTHAMSTOW-YOUTH-CLUB,,,,,,
concert,JD-CONCERT-19790406-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-04-06,confirme,Actionspace,London,UK,Joy Division,joydiv.org,,[],,CONCERT-19790406-ACTIONSPACE-LONDON,,,,,,
concert,JD-CONCERT-19790503-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-05-03,confirme,Eric's,Liverpool,UK,Joy Division,joydiv.org,,[],,CONCERT-19790503-ERICS-LIVERPOOL,,,,,,
concert,JD-CONCERT-19790511-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-05-11,confirme,The Factory I,Manchester,UK,Joy Division,joydiv.org,,[],,CONCERT-19790511-RUSSELL-CLUB,,,,,,
concert,JD-CONCERT-19790517-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-05-17,confirme,Acklam Hall,London,UK,Joy Division,joydiv.org,,[],,CONCERT-19790517-ACKLAM-HALL-LONDON,,,,,,
concert,JD-CONCERT-19790523-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-05-23,confirme,Bowdon Vale Youth Club,Altrincham,UK,Joy Division,joydiv.org,,[],,CONCERT-19790523-BOWDON-VALE-YOUTH-CLUB,,,,,,
concert,JD-CONCERT-19790607-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-06-07,confirme,The Fan Club,Leeds,UK,Joy Division,joydiv.org,,[],,CONCERT-19790607-FAN-CLUB-LEEDS,,,,,,
concert,JD-CONCERT-19790613-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-06-13,confirme,The Factory I,Manchester,UK,Joy Division,joydiv.org,,[],,CONCERT-19790613-RUSSELL-CLUB,,,,,,
concert,JD-CONCERT-19790616-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-06-16,confirme,The Odeon,Canterbury,UK,Joy Division,joydiv.org,,[],,CONCERT-19790616-ODEON-CANTERBURY,,,,,,
concert,JD-CONCERT-19790617-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-06-17,confirme,Royalty Theatre,London,UK,Joy Division,joydiv.org,,[],,CONCERT-19790617-ROYALTY-THEATRE-LONDON,,,,,,
concert,JD-CONCERT-19790619-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-06-19,confirme,Lancaster University,Lancaster,UK,Joy Division,joydiv.org,,[],,CONCERT-19790619-LANCASTER-UNIVERSITY,,,,,,
concert,JD-CONCERT-19790622-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-06-22,confirme,Good Mood,Halifax,UK,Joy Division,joydiv.org,,[],,CONCERT-19790622-GOOD-MOOD-HALIFAX,,,,,,
concert,JD-CONCERT-19790625-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-06-25,confirme,Free Trade Hall,Manchester,UK,Joy Division,joydiv.org,,[],Stuff the Superstars Special.,CONCERT-19790625-FREE-TRADE-HALL,,,,,,
concert,JD-CONCERT-19790626-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-06-26,confirme,Guildhall,Newcastle,UK,Joy Division,joydiv.org,,[],,CONCERT-19790626-NEWCASTLE-GUILDHALL,,,,,,
concert,JD-CONCERT-19790600-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-06-00,confirme,Band on the Wall,Manchester,UK,Joy Division,joydiv.org,,[],Date du jour inconnue (juin 1979).,CONCERT-19790600-BAND-ON-THE-WALL,,,,,,
concert,JD-CONCERT-19790628-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-06-28,confirme,The Factory I,Manchester,UK,Joy Division,joydiv.org,,[],,CONCERT-19790628-RUSSELL-CLUB,,,,,,
concert,JD-CONCERT-19790703-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-07-03,confirme,Free Trade Hall,Manchester,UK,Joy Division,joydiv.org,,[],,CONCERT-19790703-FREE-TRADE-HALL,,,,,,
concert,JD-CONCERT-19790705-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-07-05,confirme,Limit Club,Sheffield,UK,Joy Division,joydiv.org,,[],,CONCERT-19790705-LIMIT-CLUB-SHEFFIELD,,,,,,
concert,JD-CONCERT-19790711-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-07-11,confirme,Roots Club,Leeds,UK,Joy Division,joydiv.org,,[],,CONCERT-19790711-ROOTS-CLUB-LEEDS,,,,,,
concert,JD-CONCERT-19790713-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-07-13,confirme,The Factory I,Manchester,UK,Joy Division,joydiv.org,,[],,CONCERT-19790713-RUSSELL-CLUB,,,,,,
concert,JD-CONCERT-19790720-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-07-20,tv,Granada TV Studios — What's On,Manchester,UK,Joy Division,joydiv.org,,[],Captation TV.,,,,,,,
concert,JD-CONCERT-19790727-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-07-27,confirme,Imperial Hotel,Blackpool,UK,Joy Division,joydiv.org,,[],,CONCERT-19790727-IMPERIAL-HOTEL-BLACKPOOL,,,,,,
concert,JD-CONCERT-19790728-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-07-28,confirme,The Mayflower Club,Manchester,UK,Joy Division,joydiv.org,,[],,CONCERT-19790728-STONEGROUND-MAYFLOWER,,,,,,
concert,JD-CONCERT-19790802-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-08-02,confirme,YMCA,London,UK,Joy Division,joydiv.org,,[],,CONCERT-19790802-YMCA-LONDON,,,,,,
concert,JD-CONCERT-19790808-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-08-08,confirme,Romulus Club,Birmingham,UK,Joy Division,joydiv.org,,[],,CONCERT-19790808-ROMULUS-CLUB-BIRMINGHAM,,,,,,
concert,JD-CONCERT-19790811-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-08-11,confirme,Eric's,Liverpool,UK,Joy Division,joydiv.org,,[],Deux performances le même jour (matinée + soirée).,CONCERT-19790811-ERICS-LIVERPOOL,,,,,,
concert,JD-CONCERT-19790813-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-08-13,confirme,Nashville Rooms,London,UK,Joy Division,joydiv.org,,[],,CONCERT-19790813-NASHVILLE-ROOMS-LONDON,,,,,,
concert,JD-CONCERT-19790822-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-08-22,confirme,Youth Centre Walthamstow,London,UK,Joy Division,joydiv.org,,[],,CONCERT-19790822-WALTHAMSTOW-YOUTH-CLUB,,,,,,
concert,JD-CONCERT-19790827-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-08-27,confirme,Open Air Festival,Leigh,UK,Joy Division,joydiv.org,,[],Festival Stuff the Superstars / Zoo-Factory.,CONCERT-19790827-LEIGH-FESTIVAL,,,,,,
concert,JD-CONCERT-19790831-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-08-31,confirme,The Electric Ballroom,London,UK,Joy Division,joydiv.org,,[],,CONCERT-19790831-ELECTRIC-BALLROOM-CAMDEN,,,,,,
concert,JD-CONCERT-19790908-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-09-08,confirme,Futurama One Festival,Leeds,UK,Joy Division,joydiv.org,,[],« The World's First Science Fiction Music Festival ».,CONCERT-19790908-QUEENS-HALL-LEEDS,,,,,,
concert,JD-CONCERT-19790914-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-09-14,confirme,Rock Garden,Middlesbrough,UK,Joy Division,joydiv.org,,[],,CONCERT-19790914-ROCK-GARDEN-MIDDLESBROUGH,,,,,,
concert,JD-CONCERT-19790915-001,registers/concerts/00_canonical_concerts.md,1979 — Joy Division,1979-09-15,tv,BBC2 TV Studios — Something Else,London,UK,Joy Division,joydiv.org,,[],Captation TV : She's Lost Control + Transmission.,,,,,,,
