kind,id,file,heading,id,nom,name,definition,filiation,niveau_consensus,chapitres,sources,concept,related_atoms,usage_chapitres,prudence,label,source_id,atoms,statut,source_label,source_short_title,source_year,type_unite,atomes,atomes_lies,relations,risques,origine,usage_repo,motifs_associes,concepts_derives,chapters,nom_original,critiques,nom_fr
concept,CONCEPT-S26-006,sources/butt_eshun_fisher_post_punk_then_now/registres_structurants_s26.md,Concepts,CONCEPT-S26-006,,,"Ensemble des conditions institutionnelles et sociales — art schools, grants, dole, welfare state, social democracy — qui rendent possible l’expérimentation post-punk.",,,,"[""S26""]",conditions matérielles du post-punk,"[""S26-A006"", ""S26-A007""]","[""Chapitre 1"", ""Chapitre 2"", ""Chapitre 3""]",,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S26-007,sources/butt_eshun_fisher_post_punk_then_now/registres_structurants_s26.md,Concepts,CONCEPT-S26-007,,,"Formes collectives de production post-punk fondées sur le partage des ressources, des espaces, des pratiques et des disciplines.",,,,"[""S26""]",post-punk commons,"[""S26-A008"", ""S26-A011"", ""S26-A012"", ""S26-A013""]","[""Chapitre 3"", ""Chapitre 8""]",,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S26-008,sources/butt_eshun_fisher_post_punk_then_now/registres_structurants_s26.md,Concepts,CONCEPT-S26-008,,,"Le groupe comme machine de monde : dispositif collectif produisant formes, modes de vie, relations et futurs possibles.",,,,"[""S26""]",world-making machine,"[""S26-A008"", ""S26-A013""]","[""Chapitre 2"", ""Chapitre 3""]",,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S26-009,sources/butt_eshun_fisher_post_punk_then_now/registres_structurants_s26.md,Concepts,CONCEPT-S26-009,,,"Pratique consistant à battre les clôtures entre art, musique, performance, design, théorie et média.",,,,"[""S26""]",commoning disciplinaire,"[""S26-A012""]","[""Chapitre 3"", ""Chapitre 8"", ""Chapitre 14""]",,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S26-010,sources/butt_eshun_fisher_post_punk_then_now/registres_structurants_s26.md,Concepts,CONCEPT-S26-010,,,"Rappel critique : les collectifs post-punk peuvent ouvrir des possibles sans abolir les clôtures de genre, race, classe et institution.",,,,"[""S26""]",commons limités,"[""S26-A014"", ""S26-A015""]","[""Chapitre 8"", ""Chapitre 14""]",,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S43-001,sources/capozzi_weight_on_their_shoulders/registres_specialises_s43.md,CONCEPT-S43-001 — Seconde génération des baby-boomers,CONCEPT-S43-001,,,,,,"[""Chapitre 11"", ""Chapitre 14""]",,,,,,seconde génération des baby-boomers,S43,"[""S43-A002"", ""S43-A004"", ""S43-A014""]",a_integrer,"S43 — Capozzi, The weight on their shoulders, 2021","Eugenio Capozzi, The weight on their shoulders. Ian Curtis e la metamorfosi dei baby boomers, 2021",2021,,,,,,,,,,,,,
concept,CONCEPT-S43-002,sources/capozzi_weight_on_their_shoulders/registres_specialises_s43.md,CONCEPT-S43-002 — Révolte sans utopie,CONCEPT-S43-002,,,,,,"[""Chapitre 4"", ""Chapitre 11""]",,,,,,révolte sans utopie,S43,"[""S43-A003"", ""S43-A005"", ""S43-A006""]",a_integrer,"S43 — Capozzi, The weight on their shoulders, 2021","Eugenio Capozzi, The weight on their shoulders. Ian Curtis e la metamorfosi dei baby boomers, 2021",2021,,,,,,,,,,,,,
concept,CONCEPT-S43-003,sources/capozzi_weight_on_their_shoulders/registres_specialises_s43.md,CONCEPT-S43-003 — Jeune vieux / sénescence anticipée,CONCEPT-S43-003,,,,,,"[""Chapitre 4"", ""Chapitre 11""]",,,,,,jeune vieux / sénescence anticipée,S43,"[""S43-A009"", ""S43-A014""]",a_integrer,"S43 — Capozzi, The weight on their shoulders, 2021","Eugenio Capozzi, The weight on their shoulders. Ian Curtis e la metamorfosi dei baby boomers, 2021",2021,,,,,,,,,,,,,
concept,CONCEPT-S43-004,sources/capozzi_weight_on_their_shoulders/registres_specialises_s43.md,CONCEPT-S43-004 — Sympathie comme thérapie impossible,CONCEPT-S43-004,,,,,,"[""Chapitre 11"", ""Chapitre 12""]",,,,,,sympathie comme thérapie impossible,S43,"[""S43-A012"", ""S43-A013""]",a_integrer,"S43 — Capozzi, The weight on their shoulders, 2021","Eugenio Capozzi, The weight on their shoulders. Ian Curtis e la metamorfosi dei baby boomers, 2021",2021,,,,,,,,,,,,,
concept,CONCEPT-S43-005,sources/capozzi_weight_on_their_shoulders/registres_specialises_s43.md,CONCEPT-S43-005 — Dernière parole au « nous »,CONCEPT-S43-005,,,,,,"[""Chapitre 4"", ""Chapitre 11"", ""Chapitre 14""]",,,,,,dernière parole au nous,S43,"[""S43-A014"", ""S43-A015""]",a_integrer,"S43 — Capozzi, The weight on their shoulders, 2021","Eugenio Capozzi, The weight on their shoulders. Ian Curtis e la metamorfosi dei baby boomers, 2021",2021,,,,,,,,,,,,,
concept,CONCEPT-S15-001,sources/deluca_manchester_punk_threshold/registres_structurants_s15.md,Concepts à consolider,CONCEPT-S15-001,,,"Manchester comme ville issue de la révolution industrielle, mais saisie au moment où l’industrie devient ruine sociale, chômage, habitat dégradé et imaginaire de clôture.",,,,"[""S15""]",Manchester post-industrielle,"[""S15-A001"", ""S15-A003"", ""S15-A004""]","[""Chapitre 1"", ""Chapitre 13""]",,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S15-002,sources/deluca_manchester_punk_threshold/registres_structurants_s15.md,Concepts à consolider,CONCEPT-S15-002,,,Appropriation locale du punk par une ville dont les conditions sociales rendent immédiatement disponible la colère punk.,,,,"[""S15""]",ville punk,"[""S15-A004"", ""S15-A007""]","[""Chapitre 1"", ""Chapitre 2""]",Ne pas confondre formule critique et réalité sociale totale.,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S15-003,sources/deluca_manchester_punk_threshold/registres_structurants_s15.md,Concepts à consolider,CONCEPT-S15-003,,,"Transformation de l’ennui social, scolaire et professionnel en grammaire d’action punk.",,,,"[""S15"", ""S16""]",Politics of Boredom,"[""S15-A008""]","[""Chapitre 2"", ""Chapitre 11""]",,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S15-004,sources/deluca_manchester_punk_threshold/registres_structurants_s15.md,Concepts à consolider,CONCEPT-S15-004,,,"Capacité de produire localement disques, scènes, réseaux et formes musicales hors des circuits dominants londoniens.",,,,"[""S15""]",DIY mancunien,"[""S15-A010"", ""S15-A011""]","[""Chapitre 2"", ""Chapitre 3""]",,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S15-005,sources/deluca_manchester_punk_threshold/registres_structurants_s15.md,Concepts à consolider,CONCEPT-S15-005,,,Chaîne Marquee / NME / Shelley-Devoto / Lesser Free Trade Hall par laquelle le punk devient opératoire à Manchester.,,,,"[""S15""]",seuil punk mancunien,"[""S15-A006"", ""S15-A007"", ""S15-A009""]","[""Chapitre 2""]","À traiter comme seuil historiographique, non comme cause unique.",,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S15-006,sources/deluca_manchester_punk_threshold/registres_structurants_s15.md,Concepts à consolider,CONCEPT-S15-006,,,"Réemploi des idées punk dans un langage musical plus ouvert, expérimental, urbain et post-industriel.",,,,"[""S15""]",passage punk post-punk,"[""S15-A010"", ""S15-A011""]","[""Chapitre 3""]",,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S15-007,sources/deluca_manchester_punk_threshold/registres_structurants_s15.md,Concepts à consolider,CONCEPT-S15-007,,,"Curtis comme vecteur d’élargissement musical et littéraire du groupe : Doors, John Cale, Kraftwerk, Gogol, Kafka, Ballard, Burroughs.",,,,"[""S15""]",Ian Curtis passeur culturel,"[""S15-A014""]","[""Chapitre 2"", ""Chapitre 5"", ""Chapitre 11""]",Croiser avec les sources littéraires et mémorielles.,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S15-008,sources/deluca_manchester_punk_threshold/registres_structurants_s15.md,Concepts à consolider,CONCEPT-S15-008,,,Correction historiographique qui maintient la centralité de Curtis sans réduire l’œuvre à son seul destin biographique.,,,,"[""S15""]",unité Joy Division,"[""S15-A015""]","[""Chapitre 3"", ""Chapitre 10"", ""Chapitre 14""]",,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S09-001,sources/cummins_joy_division_visual_corpus/registres_structurants_s09.md,Concepts,CONCEPT-S09-001,,,"Source photographique qui documente le groupe tout en étant sélectionnée, cadrée, légendée et republiée dans un dispositif éditorial postérieur.",,,,"[""S09""]",source visuelle primaire éditorialisée,"[""S09-A001"", ""S09-A008""]","[""Chapitre 9"", ""Chapitre 14""]",,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S09-002,sources/cummins_joy_division_visual_corpus/registres_structurants_s09.md,Concepts,CONCEPT-S09-002,,,"Construction visuelle du froid, du silence, de la distance et de la retenue par le noir et blanc, le cadrage et la posture.",,,,"[""S09""]",austérité visuelle post-punk,"[""S09-A002"", ""S09-A007""]","[""Chapitre 3"", ""Chapitre 7""]",,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S09-003,sources/cummins_joy_division_visual_corpus/registres_structurants_s09.md,Concepts,CONCEPT-S09-003,,,"Lecture des lieux photographiés comme opérateurs d’affect : béton, vide, hauteur, distance et corps dans l’espace.",,,,"[""S09""]",géographie émotionnelle photographique,"[""S09-A003"", ""S09-A004""]","[""Chapitre 1"", ""Chapitre 9""]",,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S09-004,sources/cummins_joy_division_visual_corpus/registres_structurants_s09.md,Concepts,CONCEPT-S09-004,,,"Principe méthodologique refusant de déduire l’intériorité de Curtis d’une image fixe, d’une posture ou d’un regard.",,,,"[""S09""]",non-psychologisation iconographique de Curtis,"[""S09-A005""]","[""Chapitre 10"", ""Chapitre 14""]",,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S09-005,sources/cummins_joy_division_visual_corpus/registres_structurants_s09.md,Concepts,CONCEPT-S09-005,,,"Lecture des photographies de groupe comme preuve d’une construction collective de l’image, contre la réduction au seul visage de Curtis.",,,,"[""S09""]",unité visuelle Joy Division,"[""S09-A006""]","[""Chapitre 3"", ""Chapitre 10"", ""Chapitre 14""]",,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S14-001,sources/happy_mondays_gods_cop/registres_structurants_s14.md,Concepts,CONCEPT-S14-001,,,Transformation d’une figure institutionnelle de police morale en personnage musical et satirique dans la culture Madchester.,,,,"[""S14""]",Anderton personnage pop mancunien,"[""S14-A001"", ""S14-A005""]","[""Chapitre 1"", ""Chapitre 14""]",Ne pas confondre réception culturelle et preuve factuelle sur Greater Manchester Police.,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S14-002,sources/happy_mondays_gods_cop/registres_structurants_s14.md,Concepts,CONCEPT-S14-002,,,"Réappropriation par la culture club / Madchester d’une figure de police morale, par satire, argot, fête et mémoire populaire.",,,,"[""S14"", ""S05"", ""S12""]",dérision club du policing moral,"[""S14-A003"", ""S14-A004""]","[""Chapitre 9"", ""Chapitre 14""]",,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S14-003,sources/happy_mondays_gods_cop/registres_structurants_s14.md,Concepts,CONCEPT-S14-003,,,"Relation non linéaire entre Joy Division, Factory, New Order, Haçienda, Happy Mondays et Madchester : continuité de lieu et d’institution, discontinuité de son et de régime corporel.",,,,"[""S14"", ""S13""]",héritage oblique Factory / Madchester,"[""S14-A002"", ""S14-A007""]","[""Chapitre 8"", ""Chapitre 14""]",Ne pas transformer Madchester en simple suite de Joy Division.,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S14-004,sources/happy_mondays_gods_cop/registres_structurants_s14.md,Concepts,CONCEPT-S14-004,,,"Usage d’une chanson comme archive de réception, de satire et de circulation mémorielle, non comme document factuel sur les événements qu’elle évoque.",,,,"[""S14""]",source musicale comme mémoire culturelle,"[""S14-A005"", ""S14-A008""]","[""Chapitre 14""]",,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S22-001,sources/wilkinson_city_fun_politics/registres_structurants_s22.md,Concepts,CONCEPT-S22-001,,,"Champ de production médiatique de la scène post-punk : fanzines, magazines, graphisme, critique, distribution locale et médiation collective.",,,,"[""S22""]",post-punk media,"[""S22-A001""]","[""Chapitre 2"", ""Chapitre 8"", ""Chapitre 14""]",,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S22-002,sources/wilkinson_city_fun_politics/registres_structurants_s22.md,Concepts,CONCEPT-S22-002,,,"Réseau matériel et politique de presse alternative, coopératives d’impression et journaux communautaires qui rend possible City Fun.",,,,"[""S22""]",infrastructure libertarian left,"[""S22-A002""]","[""Chapitre 1"", ""Chapitre 8""]",,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S22-003,sources/wilkinson_city_fun_politics/registres_structurants_s22.md,Concepts,CONCEPT-S22-003,,,"Tension entre ouverture contributive, refus des hiérarchies, qualité éditoriale et nécessité d’une sélection collective.",,,,"[""S22""]",DIY éditorial contraint,"[""S22-A003"", ""S22-A005""]","[""Chapitre 8""]",,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S22-004,sources/wilkinson_city_fun_politics/registres_structurants_s22.md,Concepts,CONCEPT-S22-004,,,"Moment où une partie du post-punk associe impact, mobilité, ambition, professionnalisation, marché et qualité esthétique.",,,,"[""S22""]",new pop comme marché de la qualité,"[""S22-A004"", ""S22-A008""]","[""Chapitre 3"", ""Chapitre 14""]",Ne pas réduire new pop à une trahison ; Wilkinson décrit une tension.,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S22-005,sources/wilkinson_city_fun_politics/registres_structurants_s22.md,Concepts,CONCEPT-S22-005,,,"Conflit entre l’esthétique conceptuelle et centralisatrice de Factory et la parole plus collective, satirique et oppositionnelle de City Fun.",,,,"[""S22""]",Factory / City Fun comme conflit d’hégémonie locale,"[""S22-A006"", ""S22-A007""]","[""Chapitre 3"", ""Chapitre 8"", ""Chapitre 14""]",,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S22-006,sources/wilkinson_city_fun_politics/registres_structurants_s22.md,Concepts,CONCEPT-S22-006,,,"Usage du camp, de l’humour, de la satire et du bricolage visuel par des voix working-class pour critiquer sexualité, genre, distinction et respectabilité.",,,,"[""S22""]",camp working-class,"[""S22-A009"", ""S22-A010""]","[""Chapitre 8"", ""Chapitre 14""]",,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S22-007,sources/wilkinson_city_fun_politics/registres_structurants_s22.md,Concepts,CONCEPT-S22-007,,,"Dispositif satirique visant la politisation narcissique du quotidien, le radicalisme moral et la distinction culturelle de fractions middle-class.",,,,"[""S22""]",Pam Ponders comme satire de la new middle class,"[""S22-A011"", ""S22-A012""]","[""Chapitre 14""]",,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S22-008,sources/wilkinson_city_fun_politics/registres_structurants_s22.md,Concepts,CONCEPT-S22-008,,,Opposition entre un média subculturel conflictuel et une rhétorique urbaine contemporaine de civic pride et de marketing de contenu.,,,,"[""S22""]",média oppositional contre content marketing,"[""S22-A013"", ""S22-A014""]","[""Chapitre 14""]",,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-masculinite_post_punk,registers/s49_farci_structuring_registers.md,Concepts,CONCEPT-masculinite_post_punk,masculinité post-punk,,"Configuration critique dans laquelle le post-punk déplace l’idéal viril rock vers la vulnérabilité, la désérotisation du corps, la mélancolie, l’ambivalence de genre et la crise du frontman.
",,,"[""Chapitre 4"", ""Chapitre 11"", ""Chapitre 12""]","[""S49""]",,,,,,S49,,stabilise,"S49 — Farci, Here are the Young Men, the weight on their shoulders, 2021","Manolo Farci, Here are the Young Men, the weight on their shoulders. La danza esistenziale di Ian Curtis, 2021",2021,concept,"[""S49-A001"", ""S49-A007"", ""S49-A015""]",,,,,,,,,,,
concept,CONCEPT-corps_scenique_comme_symptome_culturel,registers/s49_farci_structuring_registers.md,Concepts,CONCEPT-corps_scenique_comme_symptome_culturel,corps scénique comme symptôme culturel,,"Lecture du corps de Curtis comme lieu où se condensent performance, maladie, réception, crise de genre et perte de contrôle, sans réduction à un fait clinique brut.
",,,"[""Chapitre 4"", ""Chapitre 12"", ""Chapitre 13""]","[""S49""]",,,,,,S49,,stabilise,"S49 — Farci, Here are the Young Men, the weight on their shoulders, 2021","Manolo Farci, Here are the Young Men, the weight on their shoulders. La danza esistenziale di Ian Curtis, 2021",2021,concept,"[""S49-A006"", ""S49-A007"", ""S49-A010""]",,,,,,,,,,,
concept,CONCEPT-melancolie_masculine,registers/s49_farci_structuring_registers.md,Concepts,CONCEPT-melancolie_masculine,mélancolie masculine,,"Structure paradoxale où la vulnérabilité et la perte deviennent une nouvelle forme d’authenticité masculine, tout en pouvant reconduire l’image d’une forteresse intérieure.
",,,"[""Chapitre 4"", ""Chapitre 11"", ""Chapitre 12""]","[""S49""]",,,,,,S49,,stabilise,"S49 — Farci, Here are the Young Men, the weight on their shoulders, 2021","Manolo Farci, Here are the Young Men, the weight on their shoulders. La danza esistenziale di Ian Curtis, 2021",2021,concept,"[""S49-A014"", ""S49-A015""]",,,,,,,,,,,
concept,CONCEPT-059,registers/concepts/s41_hook_concepts_1977_an_ideal_name_change_tj_davidson_sound.md,CONCEPT-059 — DIY endetté,CONCEPT-059,DIY endetté,,"Forme d’autonomie discographique qui permet au groupe de sortir un disque sans label, mais au prix d’une dette privée, d’un risque domestique et d’une responsabilité matérielle portée par les membres eux-mêmes.
",,,"[""Chapitre 8"", ""Chapitre 10""]",,,,,,,,,"{""type"": [""concept_discographie"", ""concept_economie"", ""concept_domesticite""], ""stabilite"": ""stable""}",,,,,,"[""S41-A042"", ""S41-A046"", ""S41-A047""]","[{""type"": ""prolonge"", ""cible"": ""CONCEPT-031""}, {""type"": ""prolonge"", ""cible"": ""CONCEPT-058""}]","[""héroïsation du DIY"", ""effacement de la dette conjugale""]",,,,,,,,
concept,CONCEPT-060,registers/concepts/s41_hook_concepts_1977_an_ideal_name_change_tj_davidson_sound.md,CONCEPT-060 — support comme contrainte sonore,CONCEPT-060,support comme contrainte sonore,,"Concept désignant la manière dont la matérialité du support impose ses limites : durée par face, largeur du sillon, niveau sonore, qualité de pressage. L’échec sonore de An Ideal for Living vient aussi de la micro-technique du vinyle.
",,,"[""Chapitre 3"", ""Chapitre 8""]",,,,,,,,,"{""type"": [""concept_technique"", ""concept_discographie"", ""concept_son""], ""stabilite"": ""stable""}",,,,,,"[""S41-A046""]","[{""type"": ""prolonge"", ""cible"": ""CONCEPT-054""}, {""type"": ""alimente"", ""cible"": ""REGISTRE-DISCOGRAPHIE""}]","[""réduire la réception de l’EP à sa technique"", ""oublier le rôle de la pochette et du contexte politique""]",,,,,,,,
concept,CONCEPT-061,registers/concepts/s41_hook_concepts_1977_an_ideal_name_change_tj_davidson_sound.md,CONCEPT-061 — nom traumatique devenu marque,CONCEPT-061,nom traumatique devenu marque,,"Processus par lequel le nom Joy Division, issu d’une référence traumatique et controversée, devient aussi une marque disputée : bootlegs, T-shirts, usages commerciaux non contrôlés, objets dérivés et conflits de protection.
",,,"[""Chapitre 5"", ""Chapitre 14""]",,,,,,,,,"{""type"": [""concept_nom"", ""concept_posterite"", ""concept_marchandisation""], ""stabilite"": ""assez_stable""}",,,,,,"[""S41-A049""]","[{""type"": ""prolonge"", ""cible"": ""S41-A001""}, {""type"": ""prolonge"", ""cible"": ""REGISTRE-BOOTLEGS""}]","[""dissocier marchandisation et charge éthique du nom"", ""réduire la postérité à l’exploitation commerciale""]",,,,,,,,
concept,CONCEPT-062,registers/concepts/s41_hook_concepts_1977_an_ideal_name_change_tj_davidson_sound.md,CONCEPT-062 — provocation à contretemps politique,CONCEPT-062,provocation à contretemps politique,,"Concept désignant l’accumulation de signes nazis ou militaires dans un moment où Rock Against Racism, l’Anti-Nazi League et la lutte contre le National Front structurent fortement le champ punk britannique. L’intention de choc ne neutralise pas l’effet politique de réception.
",,,"[""Chapitre 5"", ""Chapitre 11""]",,,,,,,,,"{""type"": [""concept_controverse"", ""concept_politique"", ""concept_reception""], ""stabilite"": ""stable""}",,,,,,"[""S41-A050""]","[{""type"": ""prolonge"", ""cible"": ""CONCEPT-025""}, {""type"": ""prolonge"", ""cible"": ""MYTH-007""}]","[""excuse par naïveté"", ""accusation sans examen de l’intention"", ""effacement du contexte antifasciste britannique""]",,,,,,,,
